X,Y,annualmean,annualvariance,annualstddev,directionannualmean,objectid
-10793536.6527,3178552.3086,0.16439052,0.01381649,0.11754358,117.27898494,145597
-10793536.6527,3188590.4532,0.16633201,0.01410647,0.11877068,210.13623792,145598
-10793536.6527,3198635.9028,0.16730045,0.01426103,0.11941954,216.40748261,145599
-10793536.6527,3208688.6878,0.16531095,0.01435473,0.11981122,232.18970849,145600
-10793536.6527,3218748.8385,0.16641439,0.01486474,0.12192104,222.29494726,145601
-10793536.6527,3228816.3853,0.12833607,0.0092902,0.0963857,243.76926541,145602
-10793536.6527,3238891.3588,0.06777408,0.00233122,0.04828273,267.31265462,145603
-10784631.0924,2999080.9434,0.19789226,0.02098447,0.14486016,10.22793913,145604
-10784631.0924,3008992.6645,0.18893024,0.01921898,0.13863252,8.60485108,145605
-10784631.0924,3018911.1618,0.18119866,0.01763079,0.13278098,10.36559595,145606
-10784631.0923,3028836.4638,0.17475133,0.01647817,0.12836733,12.7929508,145607
-10784631.0924,3038768.5994,0.16799399,0.01544822,0.12429085,14.80201653,145608
-10784631.0924,3048707.5973,0.16028614,0.01427611,0.11948266,20.95742421,145609
-10784631.0924,3058653.4863,0.15341751,0.01301009,0.11406177,38.96082098,145610
-10784631.0924,3068606.2958,0.1492309,0.01186195,0.10891256,58.06749359,145611
-10784631.0924,3078566.0544,0.14712937,0.01097255,0.10474995,73.21281612,145612
-10784631.0924,3088532.7915,0.14749283,0.01035193,0.10174444,83.72767825,145613
-10784631.0924,3098506.5361,0.14820048,0.01001098,0.1000549,90.40284384,145614
-10784631.0924,3108487.3178,0.14711998,0.00994767,0.09973801,93.76132337,145615
-10784631.0924,3118475.1659,0.14665496,0.00995303,0.09976489,93.79366192,145616
-10784631.0923,3128470.11,0.147292,0.01005583,0.10027877,92.42867603,145617
-10784631.0924,3138472.1796,0.14915682,0.01035983,0.10178325,93.2289322,145618
-10784631.0924,3148481.4044,0.15068525,0.01097204,0.1047475,99.53592814,145619
-10784631.0924,3158497.8142,0.15332137,0.01164263,0.10790101,111.9749278,145620
-10784631.0924,3168521.439,0.15637155,0.01256372,0.11208799,137.02971454,145621
-10784631.0924,3178552.3085,0.16080569,0.01315127,0.11467899,140.97215579,145622
-10784631.0924,3188590.4531,0.1652579,0.01377684,0.11737478,183.26596913,145623
-10784631.0924,3198635.9028,0.16811547,0.01406116,0.11857976,205.39135481,145624
-10784631.0923,3208688.6877,0.16871117,0.01424829,0.11936619,217.96110647,145625
-10784631.0924,3218748.8385,0.16947994,0.01443063,0.12012754,224.75620571,145626
-10784631.0924,3228816.3853,0.15881792,0.01298528,0.11395298,244.40139178,145627
-10784631.0924,3238891.3587,0.14446788,0.01079909,0.10391866,243.93526325,145628
-10784631.0924,3248973.7896,0.06498064,0.0022377,0.04730438,249.58352718,145629
-10775725.5321,3008992.6645,0.17599648,0.01802185,0.13424547,19.89235123,145630
-10775725.5322,3018911.1618,0.16822654,0.01646863,0.12833017,22.77355159,145631
-10775725.5321,3028836.4638,0.16132727,0.0151456,0.12306748,28.32985543,145632
-10775725.5321,3038768.5994,0.1549354,0.0140021,0.11833045,34.19348307,145633
-10775725.5321,3048707.5973,0.14991419,0.01285392,0.11337515,44.54068715,145634
-10775725.5321,3058653.4863,0.14745043,0.01169644,0.10815007,60.01089674,145635
-10775725.5322,3068606.2958,0.14797783,0.01065538,0.10322487,74.34700374,145636
-10775725.5321,3078566.0544,0.14830358,0.00994151,0.0997071,84.84300114,145637
-10775725.5322,3088532.7915,0.14672972,0.00924527,0.09615235,90.80264421,145638
-10775725.5321,3098506.5361,0.14776067,0.00928043,0.09633501,91.47424977,145639
-10775725.5321,3108487.3178,0.14801325,0.00942048,0.09705918,86.78936994,145640
-10775725.5321,3118475.1659,0.14730561,0.00939107,0.09690755,78.28256017,145641
-10775725.5321,3128470.11,0.14736508,0.00943161,0.09711649,70.27060709,145642
-10775725.5321,3138472.1796,0.1476711,0.00953353,0.09763979,65.84680037,145643
-10775725.5321,3148481.4044,0.1483971,0.00980855,0.09903813,68.44024655,145644
-10775725.5321,3158497.8143,0.15218617,0.01050524,0.10249506,83.04367804,145645
-10775725.5321,3168521.439,0.1545216,0.01132904,0.10643795,107.8897154,145646
-10775725.5321,3178552.3086,0.15728883,0.01198836,0.10949138,132.70539271,145647
-10775725.5321,3188590.4531,0.15972032,0.01302893,0.11414434,178.05649229,145648
-10775725.5321,3198635.9028,0.16327868,0.01369209,0.11701319,190.82330397,145649
-10775725.5321,3208688.6878,0.16642804,0.01397842,0.11823036,204.04067843,145650
-10775725.5321,3218748.8385,0.1684126,0.01411244,0.11879577,221.85660573,145651
-10775725.532,3228816.3853,0.16602442,0.01376126,0.11730841,241.9289066,145652
-10775725.5322,3238891.3588,0.16510889,0.01370245,0.11705747,246.90508308,145653
-10775725.5321,3248973.7895,0.14620356,0.0110954,0.10533473,251.52142895,145654
-10775725.5321,3259063.7085,0.06289002,0.0021053,0.04588353,251.13727406,145655
-10766819.972,3008992.6645,0.17476583,0.01658592,0.12878636,21.8329444,145656
-10766819.972,3018911.1618,0.16777673,0.0152947,0.12367176,24.779555,145657
-10766819.972,3028836.4638,0.16129659,0.01403252,0.11845895,30.48572822,145658
-10766819.972,3038768.5994,0.1554345,0.01288122,0.11349547,38.40876559,145659
-10766819.972,3048707.5973,0.15073887,0.0117659,0.10847075,51.79263935,145660
-10766819.9721,3058653.4865,0.14874971,0.01075066,0.10368536,70.33436131,145661
-10766819.972,3068606.2958,0.148646,0.00972601,0.09862056,81.00977855,145662
